date	t  	rh  	u  	p  	Qsi  	T_g  
20101001T010000	2.219	76.903	3.103	0.0000	1.276	2.687
20101001T020000	2.071	72.340	3.360	0.0202	0.000	2.515
20101001T030000	2.136	67.763	1.980	0.0000	1.333	2.363
20101001T040000	2.290	63.898	3.051	0.0030	1.418	2.222
20101001T050000	2.637	58.740	4.221	0.0071	0.652	2.084
20101001T060000	3.490	51.615	4.882	0.0071	1.304	1.951
20101001T070000	3.587	50.355	3.012	0.0131	1.701	1.836
20101001T080000	4.987	45.430	2.869	0.0454	20.438	1.728
20101001T090000	5.708	48.340	4.620	0.1039	105.955	1.614
20101001T100000	6.898	45.580	3.542	0.0000	243.650	1.526
20101001T110000	8.110	43.903	4.381	0.0000	355.325	1.473
20101001T120000	10.340	35.713	2.251	0.0000	450.175	1.653
20101001T130000	12.393	31.583	3.626	0.0000	561.525	2.539
20101001T140000	13.890	29.273	4.065	0.0000	580.275	3.588
20101001T150000	14.273	30.608	4.451	0.0000	536.025	4.385
20101001T160000	14.348	31.603	5.113	0.0000	457.675	4.840
20101001T170000	14.088	32.513	4.623	0.0040	352.950	4.983
20101001T180000	13.373	34.653	5.063	0.0121	243.700	4.910
20101001T190000	12.230	37.840	6.540	0.0353	82.845	4.756
20101001T200000	11.455	38.688	7.546	0.0232	17.560	4.573
20101001T210000	11.128	39.588	8.125	0.0000	0.198	4.358
20101001T220000	10.773	42.510	8.700	0.0646	0.368	4.155
20101001T230000	10.375	46.153	11.770	0.0454	0.142	3.984
20101002T000000	9.998	45.450	13.303	0.0000	0.000	3.869
20101002T010000	10.038	38.803	9.074	0.0020	0.000	3.765
20101002T020000	9.808	37.545	4.665	0.0252	0.567	3.633
20101002T030000	9.498	40.345	4.162	0.0071	0.000	3.451
20101002T040000	9.193	44.173	4.934	0.0030	0.283	3.281
20101002T050000	9.030	44.720	4.186	0.0272	2.012	3.142
20101002T060000	10.990	33.050	5.288	0.0040	0.368	3.002
20101002T070000	9.198	42.245	4.908	0.0000	0.085	2.922
20101002T080000	8.628	45.160	5.125	0.0000	17.877	2.823
20101002T090000	9.568	37.910	4.948	0.0807	101.770	2.740
20101002T100000	10.818	35.150	4.796	0.0000	255.100	2.946
20101002T110000	11.858	34.455	4.652	0.0575	363.925	3.462
20101002T120000	12.218	34.190	6.211	0.0000	467.550	4.155
20101002T130000	13.258	34.055	6.130	0.0000	544.550	4.862
20101002T140000	14.008	31.883	6.452	0.0000	570.800	5.447
20101002T150000	14.933	28.278	4.449	0.0131	533.000	5.882
20101002T160000	14.133	30.685	7.572	0.0141	458.600	6.093
20101002T170000	13.870	31.845	6.157	0.0000	352.025	6.057
20101002T180000	12.953	32.785	6.513	0.0565	242.550	5.855
20101002T190000	11.600	37.525	6.774	0.0323	80.750	5.604
20101002T200000	10.605	43.133	7.256	0.0212	18.012	5.340
20101002T210000	10.065	49.223	7.857	0.0313	0.000	5.077
20101002T220000	9.820	50.770	7.649	0.0040	0.425	4.851
20101002T230000	9.575	48.830	6.360	0.0000	0.000	4.643
20101003T000000	9.650	45.123	9.330	0.0555	0.000	4.457
20101003T010000	9.710	41.705	9.380	0.0000	1.190	4.295
20101003T020000	9.270	45.760	9.410	0.0000	0.000	4.138
20101003T030000	9.008	44.825	7.741	0.0081	0.000	4.003
20101003T040000	8.640	45.440	1.461	0.0000	0.765	3.856
20101003T050000	8.448	46.945	1.455	0.0131	0.595	3.615
