datetime	t 	rh 	u 	p 	Qsi 	T_g 
20101001T010000	1.672	71.888	0.730	0.0000	0.000	4.820
20101001T020000	2.011	66.840	0.079	0.0197	0.000	4.666
20101001T030000	1.658	61.774	0.544	0.0000	0.000	4.530
20101001T040000	3.098	57.498	0.965	0.0031	0.000	4.403
20101001T050000	3.169	51.790	0.408	0.0068	0.000	4.280
20101001T060000	3.235	43.906	0.235	0.0073	0.000	4.160
20101001T070000	3.507	42.512	0.715	0.0125	0.000	4.057
20101001T080000	5.497	37.062	0.539	0.0448	11.089	3.961
20101001T090000	8.100	40.282	0.647	0.1031	112.101	3.859
20101001T100000	9.091	37.228	0.102	0.0000	274.746	3.780
20101001T110000	10.601	35.372	0.368	0.0000	406.656	3.732
20101001T120000	12.633	26.309	1.434	0.0000	518.692	3.894
20101001T130000	14.268	21.739	1.850	0.0000	650.219	4.687
20101001T140000	14.548	19.183	1.682	0.0000	672.366	5.627
20101001T150000	15.309	20.660	1.907	0.0000	620.098	6.339
20101001T160000	15.397	21.761	2.250	0.0000	527.551	6.747
20101001T170000	14.029	22.768	1.455	0.0040	403.851	6.875
20101001T180000	11.714	25.136	0.010	0.0121	274.805	6.810
20101001T190000	11.809	28.663	1.543	0.0348	84.804	6.672
20101001T200000	11.722	29.601	1.744	0.0233	7.689	6.508
20101001T210000	11.210	30.597	1.273	0.0000	0.000	6.315
20101001T220000	11.045	33.831	1.259	0.0642	0.000	6.133
20101001T230000	10.728	37.862	2.532	0.0453	0.000	5.981
20101002T000000	10.534	37.084	1.002	0.0000	0.000	5.878
20101002T010000	9.585	29.728	0.791	0.0021	0.000	5.785
20101002T020000	9.273	28.337	2.260	0.0254	0.000	5.666
20101002T030000	9.290	31.435	1.840	0.0073	0.000	5.503
20101002T040000	10.039	35.671	1.573	0.0032	0.000	5.352
20101002T050000	10.916	36.276	3.164	0.0266	0.000	5.227
20101002T060000	12.281	23.363	6.354	0.0036	0.000	5.102
20101002T070000	9.942	33.538	1.356	0.0000	0.000	5.030
20101002T080000	8.971	36.763	0.814	0.0000	8.064	4.942
20101002T090000	11.642	28.741	1.144	0.0802	107.158	4.867
20101002T100000	12.928	25.687	1.334	0.0000	288.271	5.051
20101002T110000	14.293	24.918	2.048	0.0569	416.814	5.513
20101002T120000	15.367	24.624	3.288	0.0000	539.216	6.134
20101002T130000	15.841	24.475	3.472	0.0000	630.168	6.767
20101002T140000	16.323	22.071	3.438	0.0000	661.174	7.291
20101002T150000	16.603	18.082	1.727	0.0125	616.525	7.680
20101002T160000	15.624	20.746	2.635	0.0141	528.644	7.869
20101002T170000	14.433	22.029	1.070	0.0000	402.758	7.837
20101002T180000	12.339	23.070	0.823	0.0557	273.447	7.656
20101002T190000	11.425	28.315	0.270	0.0315	82.329	7.431
20101002T200000	10.658	34.520	1.293	0.0206	8.223	7.195
20101002T210000	10.559	41.259	3.041	0.0306	0.000	6.959
20101002T220000	10.711	42.971	2.429	0.0037	0.000	6.757
20101002T230000	10.197	40.824	1.562	0.0000	0.000	6.571
20101003T000000	10.534	36.722	3.631	0.0552	0.000	6.404
20101003T010000	10.783	32.940	4.454	0.0000	0.000	6.259
20101003T020000	10.454	37.427	6.122	0.0000	0.000	6.119
20101003T030000	10.509	36.393	4.463	0.0084	0.000	5.998
20101003T040000	9.403	37.073	1.393	0.0000	0.000	5.866
20101003T050000	8.407	38.739	0.047	0.0130	0.000	5.650
20101003T060000	8.177	35.081	1.046	0.0000	0.000	5.403
20101003T070000	8.140	36.069	0.072	0.0000	0.000	5.183
20101003T080000	6.201	42.163	0.730	0.0456	9.070	5.046
20101003T090000	5.078	67.064	0.732	0.0908	40.609	4.970
20101003T100000	5.334	63.672	1.031	0.0000	62.473	5.027
20101003T110000	8.529	50.050	1.503	0.0000	332.182	5.213
20101003T120000	12.164	40.769	3.868	0.0000	489.576	5.709
20101003T130000	12.269	40.794	3.321	0.0468	443.185	6.474
20101003T140000	13.230	43.317	3.689	0.0000	604.418	7.065
20101003T150000	13.662	41.344	3.318	0.0856	563.519	7.488
20101003T160000	12.526	43.582	3.686	0.0080	289.393	7.798
20101003T170000	11.964	47.099	2.183	0.0000	335.135	7.897
20101003T180000	10.534	53.990	1.365	0.0048	79.010	7.938
20101003T190000	9.845	59.985	0.781	0.0420	35.126	7.837
20101003T200000	9.041	69.305	0.881	0.0113	0.000	7.683
20101003T210000	8.407	73.385	0.949	0.0117	0.000	7.513
20101003T220000	7.338	79.690	0.988	0.0295	0.000	7.346
20101003T230000	7.336	80.323	0.129	0.0105	0.000	7.221
20101004T000000	7.680	75.222	0.935	0.0161	0.000	7.104
20101004T010000	7.460	74.090	1.116	0.0097	0.000	6.982
20101004T020000	7.308	78.110	0.320	0.0000	0.000	6.879
20101004T030000	7.430	76.699	0.060	0.0073	0.000	6.780
20101004T040000	7.118	76.060	0.693	0.0000	0.000	6.697
20101004T050000	7.108	71.330	2.065	0.0097	0.000	6.627
20101004T060000	5.984	69.031	0.179	0.0066	0.000	6.567
20101004T070000	5.764	75.922	0.638	0.0000	0.000	6.473
20101004T080000	5.843	76.616	1.104	0.0012	0.000	6.374
20101004T090000	6.268	70.110	0.898	0.0513	35.019	6.291
20101004T100000	6.583	70.378	0.613	0.0181	82.902	6.267
20101004T110000	7.239	74.732	1.010	0.0029	99.613	6.364
20101004T120000	8.734	70.823	1.703	0.0000	293.911	6.485
20101004T130000	10.192	59.260	1.984	0.0000	460.430	6.818
20101004T140000	10.449	52.571	2.064	0.0106	516.241	7.287
20101004T150000	9.712	46.794	2.453	0.0000	460.784	7.601
20101004T160000	9.737	47.325	1.874	0.0000	352.498	7.707
20101004T170000	9.328	45.148	1.247	0.0000	357.430	7.643
20101004T180000	8.095	47.655	0.830	0.0052	199.740	7.569
20101004T190000	6.946	52.396	2.020	0.0283	49.841	7.415
20101004T200000	6.510	55.342	1.617	0.0069	0.904	7.147
20101004T210000	5.887	58.673	0.798	0.0051	0.000	6.833
20101004T220000	5.184	63.088	1.175	0.0000	0.000	6.581
20101004T230000	4.700	69.869	1.087	0.0653	0.000	6.371
20101005T000000	2.212	87.377	1.662	1.0825	0.000	6.256
20101005T010000	2.272	90.863	0.525	0.9621	0.000	6.072
20101005T020000	2.093	92.772	0.498	0.0000	0.000	5.928
20101005T030000	1.720	97.447	0.921	0.0514	0.000	5.841
20101005T040000	0.583	97.447	0.943	0.8412	0.000	5.780
20101005T050000	-0.394	97.447	0.883	0.1277	0.000	5.642
20101005T060000	-0.771	97.447	0.899	0.0158	0.000	5.494
20101005T070000	-1.304	97.447	1.102	0.0500	0.000	5.359
20101005T080000	-0.893	95.013	0.957	0.0000	2.423	5.240
20101005T090000	1.485	73.086	1.106	0.0084	147.593	5.118
20101005T100000	3.850	65.445	0.057	0.1511	308.617	5.015
20101005T110000	4.441	66.820	0.843	0.0000	407.631	5.142
20101005T120000	5.473	62.223	1.910	0.0933	522.620	5.677
20101005T130000	6.735	47.010	3.003	0.0000	594.437	6.242
20101005T140000	7.862	38.846	1.994	0.0000	660.141	6.707
20101005T150000	9.318	32.204	1.272	0.0000	580.380	7.019
20101005T160000	8.886	29.258	1.684	0.0000	505.758	7.091
20101005T170000	7.709	27.518	1.401	0.0000	375.000	6.929
20101005T180000	6.487	24.132	4.229	0.0332	247.992	6.663
20101005T190000	6.413	20.953	5.602	0.0200	71.758	6.349
20101005T200000	6.064	27.687	4.369	0.0000	0.000	6.024
20101005T210000	5.460	32.163	1.992	0.0000	0.000	5.740
20101005T220000	5.350	32.973	2.080	0.0284	0.000	5.524
20101005T230000	6.089	36.758	2.865	0.0073	0.000	5.343
20101006T000000	5.284	36.152	1.187	0.0000	0.000	5.199
20101006T010000	4.641	38.586	0.952	0.0223	0.000	5.071
20101006T020000	4.525	37.975	1.419	0.0000	0.000	4.950
20101006T030000	4.687	37.054	1.666	0.0114	0.000	4.837
20101006T040000	5.704	34.622	2.026	0.0109	0.000	4.732
20101006T050000	5.614	34.547	1.967	0.0041	0.000	4.631
20101006T060000	5.885	32.630	0.692	0.0000	0.000	4.542
20101006T070000	5.305	32.367	1.517	0.0000	0.000	4.462
20101006T080000	6.328	34.813	1.368	0.0024	8.406	4.393
20101006T090000	8.791	29.930	1.023	0.1026	91.918	4.308
20101006T100000	10.639	27.615	0.206	0.0000	275.307	4.254
20101006T110000	12.416	25.216	0.870	0.0000	386.310	4.541
20101006T120000	13.604	21.855	1.161	0.0000	507.944	5.330
20101006T130000	14.089	26.580	1.351	0.0000	565.409	6.258
20101006T140000	14.952	25.017	1.295	0.0000	587.999	7.070
20101006T150000	15.569	24.384	1.211	0.0000	564.789	7.666
20101006T160000	15.275	23.944	0.944	0.0041	494.921	7.972
20101006T170000	14.166	26.600	0.659	0.0000	362.597	7.974
20101006T180000	12.426	27.034	0.528	0.0774	237.716	7.754
20101006T190000	11.842	28.293	0.854	0.0137	68.418	7.475
20101006T200000	11.632	28.080	0.887	0.0000	1.499	7.160
20101006T210000	11.005	24.223	0.667	0.0000	0.000	6.826
20101006T220000	10.242	29.886	0.121	0.0000	0.000	6.527
20101006T230000	10.489	31.975	1.049	0.0194	0.000	6.242
20101007T000000	10.122	29.150	1.540	0.0255	0.000	6.043
20101007T010000	10.064	28.799	1.481	0.0000	0.000	5.874
20101007T020000	10.004	23.756	0.224	0.0057	0.000	5.700
20101007T030000	9.166	25.250	1.524	0.0044	0.000	5.525
20101007T040000	9.423	28.027	1.078	0.0033	0.000	5.373
20101007T050000	8.120	31.385	0.875	0.0138	0.000	5.238
20101007T060000	7.910	32.481	0.805	0.0000	0.000	5.101
20101007T070000	8.095	29.087	1.614	0.0077	0.000	4.962
20101007T080000	8.167	20.063	0.960	0.0000	2.910	4.834
20101007T090000	10.319	22.699	0.806	0.0980	78.609	4.738
20101007T100000	11.425	28.021	0.341	0.0000	258.623	4.796
20101007T110000	12.501	30.453	1.480	0.0000	375.502	5.278
20101007T120000	12.910	35.471	2.496	0.0000	492.470	5.982
20101007T130000	13.222	32.912	2.333	0.0000	564.907	6.737
20101007T140000	13.592	31.347	2.244	0.0000	564.907	7.383
20101007T150000	14.416	26.774	2.567	0.0011	519.372	7.846
20101007T160000	12.713	31.280	1.816	0.0167	351.937	8.072
20101007T170000	11.180	39.342	1.381	0.0000	157.601	8.076
20101007T180000	9.982	41.328	2.256	0.0345	78.423	8.022
20101007T190000	9.076	45.552	1.778	0.0171	54.022	7.854
