datetime	t 	rh 	u 	p 	Qsi 	T_g 
20101001T010000	-0.297	92.875	0.194	0.0000	0.000	8.488
20101001T020000	-1.146	95.825	0.178	0.0069	0.000	7.845
20101001T030000	-1.793	97.450	0.326	0.0012	0.000	7.199
20101001T040000	1.830	89.398	1.496	0.0027	15.737	12.517
20101001T050000	1.704	90.405	1.719	0.0060	15.737	12.154
20101001T060000	1.468	90.977	1.972	0.0065	15.737	11.792
20101001T070000	1.254	90.705	2.073	0.0111	15.737	11.464
20101001T080000	-3.203	100.000	0.311	0.0425	6.059	4.289
20101001T090000	-3.067	99.900	0.367	0.0978	17.123	4.123
20101001T100000	0.142	95.400	0.246	0.0000	206.443	3.819
20101001T110000	8.558	65.925	1.205	0.0000	403.000	4.634
20101001T120000	13.608	42.813	2.792	0.0000	570.225	7.468
20101001T130000	16.618	36.018	3.538	0.0000	585.525	10.293
20101001T140000	19.170	31.348	4.021	0.0000	651.975	12.628
20101001T150000	21.340	26.890	3.724	0.0000	611.850	14.500
20101001T160000	22.515	24.170	3.615	0.0000	529.500	15.465
20101001T170000	22.943	23.205	3.034	0.0098	404.600	15.918
20101001T180000	21.868	25.710	2.728	0.0361	245.675	15.823
20101001T190000	15.450	48.598	1.060	0.1017	20.575	15.288
20101001T200000	11.343	63.285	0.794	0.0601	0.000	13.895
20101001T210000	8.139	74.008	0.543	0.0336	0.000	12.535
20101001T220000	6.381	78.753	0.590	0.0195	0.000	11.353
20101001T230000	5.581	81.575	0.705	0.0106	0.000	10.355
20101002T000000	5.497	81.993	0.788	0.0016	0.000	9.545
20101002T010000	5.768	80.423	0.898	0.0000	0.000	8.875
20101002T020000	5.320	81.788	0.927	0.0000	0.000	8.410
20101002T030000	4.248	85.750	0.781	0.0048	0.000	7.955
20101002T040000	3.440	88.825	0.786	0.0110	0.000	7.502
20101002T050000	3.503	88.350	0.877	0.0000	0.000	7.053
20101002T060000	3.497	87.300	0.990	0.0007	0.000	6.657
20101002T070000	1.950	91.550	0.738	0.0017	0.000	6.393
20101002T080000	1.448	93.850	0.733	0.0024	1.232	5.974
20101002T090000	1.560	93.100	0.715	0.0000	19.395	5.608
20101002T100000	5.424	85.225	1.105	0.0207	216.563	5.120
20101002T110000	13.575	54.203	1.497	0.0000	396.525	6.410
20101002T120000	17.035	42.200	1.003	0.0000	517.175	9.205
20101002T130000	20.620	31.548	0.902	0.0000	586.775	12.050
20101002T140000	23.253	21.590	2.744	0.0000	631.400	14.933
20101002T150000	23.668	19.340	2.861	0.0000	605.325	16.768
20101002T160000	23.570	19.923	3.750	0.0069	524.125	17.555
20101002T170000	23.305	20.723	2.892	0.0174	401.100	17.538
20101002T180000	22.395	21.265	2.672	0.0292	247.125	17.125
20101002T190000	16.055	41.950	1.326	0.0974	16.215	16.413
20101002T200000	11.665	58.103	0.630	0.0608	0.000	14.885
20101002T210000	10.003	62.850	0.770	0.0239	0.000	13.355
20101002T220000	8.640	67.433	0.816	0.0167	0.000	12.203
20101002T230000	6.716	75.310	0.617	0.0028	0.000	11.283
20101003T000000	5.375	79.993	0.831	0.0086	0.000	10.503
20101003T010000	5.488	79.265	0.781	0.0000	0.000	9.718
20101003T020000	3.834	84.450	0.608	0.0033	0.000	9.140
20101003T030000	2.663	87.575	0.621	0.0000	0.000	8.548
20101003T040000	1.711	90.700	0.507	0.0065	0.000	8.001
20101003T050000	1.496	91.900	0.669	0.0016	0.000	7.475
20101003T060000	1.323	92.300	0.460	0.0000	0.000	7.016
20101003T070000	2.217	90.575	0.795	0.0000	0.000	6.589
20101003T080000	1.406	91.925	0.459	0.0000	1.173	6.501
20101003T090000	1.891	93.025	0.740	0.0000	34.625	6.157
20101003T100000	5.205	84.975	1.288	0.0000	74.210	6.210
20101003T110000	8.760	72.083	0.801	0.0000	317.450	6.675
20101003T120000	13.390	53.320	1.065	0.0000	449.350	8.776
20101003T130000	14.020	52.105	1.140	0.0000	395.625	11.440
20101003T140000	16.348	47.225	1.223	0.0000	540.000	12.955
20101003T150000	20.333	35.783	2.475	0.0000	566.725	14.903
20101003T160000	20.875	33.878	3.815	0.0000	436.400	16.175
20101003T170000	20.310	36.193	3.626	0.0182	348.675	16.425
20101003T180000	18.878	39.578	2.688	0.0491	75.655	16.310
20101003T190000	17.950	42.423	2.929	0.0284	30.453	15.205
20101003T200000	17.023	46.593	1.910	0.0218	0.000	14.335
20101003T210000	15.515	53.733	1.342	0.0256	0.000	13.733
20101003T220000	14.535	59.378	0.991	0.0223	0.000	13.188
20101003T230000	13.865	63.128	0.903	0.0113	0.000	12.840
20101004T000000	13.403	64.078	0.642	0.0102	0.000	12.443
20101004T010000	12.650	69.063	0.848	0.0061	0.000	12.095
20101004T020000	12.003	72.628	0.704	0.0122	0.000	11.818
20101004T030000	11.763	74.990	0.833	0.0052	0.000	11.475
20101004T040000	11.353	77.195	0.995	0.0033	0.000	11.240
20101004T050000	11.638	76.708	1.551	0.0000	0.000	10.985
20101004T060000	11.635	79.280	1.966	0.0170	0.000	10.893
20101004T070000	10.495	83.150	0.814	0.0000	0.000	10.795
20101004T080000	10.018	83.550	0.641	0.0057	0.392	10.538
20101004T090000	10.178	82.575	0.855	0.0000	35.018	10.285
20101004T100000	11.610	77.348	0.600	0.0000	104.285	10.203
20101004T110000	12.240	73.378	1.715	0.0000	109.610	10.760
20101004T120000	13.850	65.203	2.216	0.0000	270.525	11.123
20101004T130000	15.733	53.445	2.710	0.0000	383.325	12.380
20101004T140000	17.478	39.333	3.278	0.0000	583.300	13.635
20101004T150000	17.925	33.905	3.524	0.0000	507.525	15.735
20101004T160000	18.310	31.383	3.240	0.0000	498.925	16.383
20101004T170000	18.228	31.615	2.805	0.0037	356.450	16.798
20101004T180000	17.468	32.665	1.945	0.0101	207.050	16.483
20101004T190000	13.775	48.078	1.105	0.0734	21.000	15.948
20101004T200000	9.828	63.855	0.568	0.0454	0.000	14.655
20101004T210000	7.746	72.080	0.497	0.0219	0.000	13.273
20101004T220000	9.014	75.053	1.599	0.0041	0.000	12.135
20101004T230000	10.573	72.740	1.779	0.0000	0.000	11.453
20101005T000000	9.335	78.928	1.486	2.1833	0.000	11.390
20101005T010000	7.635	91.450	0.737	1.5363	0.000	11.135
20101005T020000	7.420	94.350	0.969	0.0213	0.000	10.798
20101005T030000	7.357	90.900	2.145	0.0000	0.000	10.553
20101005T040000	5.910	88.275	2.877	0.6988	0.000	10.288
20101005T050000	5.146	89.875	2.445	0.0000	0.000	9.855
20101005T060000	4.743	89.850	2.144	0.0016	0.000	9.490
20101005T070000	4.542	87.575	2.273	0.0000	0.000	9.143
20101005T080000	3.909	88.575	1.200	0.0000	0.000	8.928
20101005T090000	2.544	94.475	0.868	0.0000	22.825	8.575
20101005T100000	3.817	92.350	0.761	0.0167	202.863	8.030
20101005T110000	6.899	80.570	1.506	0.0000	387.550	8.775
20101005T120000	8.948	71.833	1.757	0.0000	514.525	10.635
20101005T130000	11.473	57.408	1.457	0.0000	586.850	12.643
20101005T140000	14.153	37.005	1.754	0.0000	613.600	14.700
20101005T150000	15.510	29.745	2.623	0.0000	589.400	16.398
20101005T160000	16.325	25.778	2.992	0.0000	515.725	16.860
20101005T170000	16.325	26.578	3.368	0.0000	389.100	16.720
20101005T180000	14.975	28.738	3.688	0.0008	222.725	16.013
20101005T190000	12.500	29.600	3.126	0.0551	14.854	14.718
20101005T200000	10.263	37.483	1.896	0.0306	0.000	13.200
20101005T210000	10.839	36.100	3.046	0.0016	0.000	11.733
20101005T220000	9.613	44.093	1.619	0.0000	0.000	10.985
20101005T230000	6.513	60.558	0.687	0.0208	0.000	10.493
20101006T000000	5.882	63.625	0.988	0.0000	0.000	9.843
20101006T010000	5.035	67.428	1.094	0.0065	0.000	9.310
20101006T020000	3.290	75.335	0.689	0.0090	0.000	8.813
20101006T030000	1.739	81.225	0.629	0.0110	0.000	8.235
20101006T040000	1.014	84.200	0.606	0.0041	0.000	7.627
20101006T050000	0.682	85.225	0.835	0.0012	0.000	7.051
20101006T060000	0.048	87.850	0.602	0.0000	0.000	6.620
20101006T070000	-0.293	90.425	0.662	0.0029	0.000	6.177
20101006T080000	-0.499	91.575	0.861	0.0028	0.746	5.786
20101006T090000	-0.378	91.250	0.788	0.0000	23.623	5.428
20101006T100000	3.249	78.585	1.251	0.0008	198.413	4.966
20101006T110000	8.676	57.083	1.432	0.0000	377.575	6.099
20101006T120000	12.603	43.170	1.517	0.0000	497.550	8.559
20101006T130000	15.728	35.168	1.564	0.0000	569.500	11.135
20101006T140000	18.258	31.508	1.589	0.0000	594.750	13.568
20101006T150000	20.503	27.760	0.773	0.0000	563.775	15.603
20101006T160000	22.040	25.673	1.077	0.0000	485.650	16.750
20101006T170000	22.988	25.135	0.824	0.0139	364.050	17.160
20101006T180000	20.180	35.005	1.138	0.0420	182.033	17.265
20101006T190000	13.363	58.845	0.971	0.0926	10.643	16.388
20101006T200000	9.115	74.233	0.631	0.0555	0.000	14.618
20101006T210000	7.283	78.895	0.810	0.0245	0.000	13.070
20101006T220000	5.857	81.488	0.490	0.0122	0.000	11.860
20101006T230000	4.558	85.150	0.642	0.0078	0.000	10.870
20101007T000000	3.907	86.525	0.546	0.0036	0.000	9.995
20101007T010000	2.900	89.125	0.525	0.0000	0.000	9.300
