datetime	t 	rh 	u 	p 	Qsi 	T_g 
20101001T010000	1.525	84.600	1.007	0.0000	0.000	5.918
20101001T020000	0.973	87.450	1.119	0.0185	0.000	5.756
20101001T030000	0.584	88.975	0.873	0.0000	0.000	5.596
20101001T040000	0.231	90.375	0.797	0.0028	0.000	5.441
20101001T050000	0.078	91.300	1.036	0.0062	0.000	5.289
20101001T060000	-0.211	91.825	0.855	0.0067	0.000	5.145
20101001T070000	-0.473	91.575	0.870	0.0114	0.000	5.011
20101001T080000	-0.102	88.925	1.123	0.0436	4.014	4.885
20101001T090000	1.477	85.925	1.195	0.1002	138.345	4.766
20101001T100000	5.800	70.985	1.078	0.0000	293.825	4.631
20101001T110000	10.495	56.883	1.124	0.0000	417.075	4.525
20101001T120000	13.283	48.480	0.480	0.0000	567.400	4.805
20101001T130000	15.583	42.680	0.577	0.0000	643.375	5.330
20101001T140000	18.215	39.058	0.872	0.0000	654.400	5.900
20101001T150000	19.358	35.473	1.220	0.0000	601.925	6.321
20101001T160000	19.018	36.408	1.208	0.0000	506.075	6.651
20101001T170000	16.565	44.858	1.344	0.0039	377.000	6.770
20101001T180000	13.083	55.643	1.173	0.0118	100.083	6.842
20101001T190000	10.793	61.580	1.134	0.0338	12.923	6.800
20101001T200000	11.993	53.425	1.137	0.0227	0.000	6.674
20101001T210000	10.053	60.248	1.241	0.0000	0.000	6.529
20101001T220000	9.235	62.498	1.159	0.0624	0.000	6.375
20101001T230000	10.850	56.995	1.093	0.0440	0.000	6.212
20101002T000000	9.753	60.100	1.098	0.0000	0.000	6.079
20101002T010000	8.075	65.463	1.174	0.0020	0.000	5.963
20101002T020000	7.051	68.433	1.093	0.0247	0.000	5.840
20101002T030000	6.815	67.978	1.134	0.0071	0.000	5.717
20101002T040000	6.555	71.548	1.220	0.0031	0.000	5.598
20101002T050000	6.588	70.968	1.141	0.0259	0.000	5.493
20101002T060000	7.033	69.235	1.081	0.0035	0.000	5.397
20101002T070000	6.377	70.848	1.155	0.0000	0.000	5.308
20101002T080000	5.794	74.505	1.248	0.0000	2.868	5.222
20101002T090000	6.519	73.540	1.235	0.0780	129.793	5.134
20101002T100000	10.345	63.350	1.039	0.0000	301.300	5.015
20101002T110000	15.298	49.785	1.279	0.0553	449.525	4.975
20101002T120000	17.133	44.178	1.145	0.0000	564.325	5.360
20101002T130000	19.185	37.153	1.160	0.0000	632.125	5.898
20101002T140000	19.885	29.198	1.276	0.0000	644.525	6.432
20101002T150000	20.178	28.490	1.327	0.0122	602.125	6.818
20101002T160000	19.783	29.615	1.370	0.0137	511.375	7.098
20101002T170000	17.905	35.370	1.252	0.0000	380.825	7.174
20101002T180000	15.005	41.570	1.140	0.0542	101.675	7.196
20101002T190000	12.918	48.378	1.035	0.0306	11.680	7.122
20101002T200000	12.318	49.925	0.992	0.0200	0.000	6.976
20101002T210000	11.613	53.513	1.150	0.0298	0.000	6.808
20101002T220000	12.140	52.550	1.219	0.0036	0.000	6.645
20101002T230000	10.335	59.275	1.162	0.0000	0.000	6.507
20101003T000000	9.773	61.213	1.084	0.0537	0.000	6.369
20101003T010000	9.273	62.423	1.045	0.0000	0.000	6.229
20101003T020000	9.393	59.905	1.078	0.0000	0.000	6.088
20101003T030000	7.848	67.000	1.175	0.0082	0.000	5.963
20101003T040000	7.026	71.383	1.165	0.0000	0.000	5.840
20101003T050000	6.517	72.055	1.135	0.0126	0.000	5.720
20101003T060000	6.193	75.203	1.135	0.0000	0.000	5.610
20101003T070000	6.084	76.813	1.171	0.0000	0.000	5.507
20101003T080000	5.900	75.945	1.224	0.0443	4.987	5.428
20101003T090000	7.071	72.693	1.155	0.0883	49.210	5.363
20101003T100000	8.036	72.510	1.244	0.0000	79.395	5.346
20101003T110000	9.853	65.490	1.177	0.0000	395.250	5.446
20101003T120000	12.145	58.835	1.071	0.0000	542.600	5.735
20101003T130000	13.993	54.393	1.218	0.0455	395.275	6.227
20101003T140000	15.070	52.125	1.210	0.0000	616.575	6.686
