datetime	t 	rh 	u 	p 	Qsi 	T_g
20101002T000000	9.670	53.078	1.747	0.0000	6.142	5.532
20101002T010000	9.668	53.100	1.727	0.0020	6.142	5.384
20101002T020000	9.315	54.670	1.708	0.0249	6.142	5.276
20101002T030000	10.160	51.035	1.543	0.0071	6.142	5.144
20101002T040000	9.790	53.195	1.889	0.0031	6.142	5.120
20101002T050000	8.853	54.705	1.599	0.0261	6.142	5.110
20101002T060000	9.395	55.385	1.950	0.0035	6.142	4.971
20101002T070000	8.772	56.033	1.218	0.0000	6.142	4.999
20101002T080000	7.612	60.103	1.359	0.0000	6.236	4.885
20101002T090000	11.595	47.565	1.272	0.0785	38.659	4.591
20101002T100000	13.620	44.043	1.073	0.0000	286.568	4.776
20101002T110000	15.995	37.365	0.939	0.0557	508.329	5.116
20101002T120000	16.768	34.385	1.196	0.0000	644.327	5.679
20101002T130000	17.773	31.720	1.444	0.0000	744.954	6.326
20101002T140000	18.773	30.148	1.455	0.0000	781.592	6.930
20101002T150000	19.608	27.750	1.022	0.0123	681.186	7.269
20101002T160000	20.050	23.745	1.293	0.0138	631.903	7.530
20101002T170000	19.535	24.345	1.121	0.0000	337.056	7.749
20101002T180000	15.950	33.100	0.800	0.0546	39.357	7.915
20101002T190000	11.978	43.610	1.017	0.0308	21.556	7.601
20101002T200000	11.375	44.388	1.003	0.0201	6.737	7.149
20101002T210000	11.065	47.648	0.858	0.0300	6.142	6.784
20101002T220000	10.508	52.000	0.923	0.0036	6.142	6.503
20101002T230000	9.990	55.278	1.163	0.0000	6.142	6.256
20101003T000000	8.635	60.100	1.101	0.0541	6.142	6.057
20101003T010000	8.618	60.795	1.296	0.0000	6.142	5.831
20101003T020000	8.970	59.688	1.594	0.0000	6.142	5.609
20101003T030000	8.750	61.988	1.444	0.0083	6.142	5.491
20101003T040000	7.477	66.668	1.281	0.0000	6.142	5.368
20101003T050000	7.130	64.265	1.041	0.0127	6.142	5.202
20101003T060000	6.842	64.368	0.907	0.0000	6.142	5.063
20101003T070000	6.990	64.635	0.806	0.0000	6.142	4.959
20101003T080000	6.524	69.703	0.865	0.0446	7.803	4.908
20101003T090000	7.830	63.650	1.454	0.0889	41.604	4.783
20101003T100000	7.690	68.435	0.984	0.0000	93.170	4.967
20101003T110000	9.461	63.825	0.613	0.0000	387.956	5.135
20101003T120000	11.750	56.553	0.861	0.0000	592.000	5.756
20101003T130000	13.713	50.805	0.912	0.0458	498.092	6.590
20101003T140000	14.933	47.835	1.612	0.0000	674.816	7.105
20101003T150000	16.578	43.525	1.489	0.0837	604.139	7.458
20101003T160000	17.265	39.620	2.077	0.0079	477.871	7.830
20101003T170000	16.380	43.705	1.372	0.0000	317.660	8.340
20101003T180000	14.450	48.725	0.755	0.0047	92.970	8.638
20101003T190000	13.175	54.725	0.764	0.0411	41.867	8.468
20101003T200000	12.165	59.583	0.507	0.0111	6.408	8.223
20101003T210000	11.603	61.835	0.719	0.0115	6.142	7.964
20101003T220000	10.883	65.715	0.928	0.0289	6.142	7.790
20101003T230000	10.550	69.388	0.763	0.0103	6.142	7.660
20101004T000000	10.053	72.578	1.099	0.0158	6.142	7.513
20101004T010000	9.873	72.045	1.061	0.0095	6.142	7.409
20101004T020000	9.080	75.390	0.666	0.0000	6.142	7.337
20101004T030000	8.520	79.270	0.687	0.0071	6.142	7.191
20101004T040000	8.858	78.018	0.868	0.0000	6.142	7.079
20101004T050000	8.303	81.200	0.656	0.0095	6.142	7.022
20101004T060000	7.753	88.850	0.939	0.0064	6.142	6.957
20101004T070000	7.293	87.350	0.745	0.0000	6.142	6.890
20101004T080000	6.942	86.725	0.646	0.0012	6.142	6.784
20101004T090000	7.528	80.850	0.925	0.0502	37.700	6.687
20101004T100000	8.875	74.703	0.806	0.0177	114.899	6.679
20101004T110000	9.153	73.898	0.747	0.0028	113.476	6.888
20101004T120000	11.065	65.800	0.696	0.0000	335.630	7.086
20101004T130000	12.755	59.250	0.832	0.0000	460.662	7.598
20101004T140000	13.900	52.475	1.058	0.0104	625.089	8.110
20101004T150000	14.570	39.338	1.352	0.0000	552.447	8.543
20101004T160000	14.828	39.515	1.250	0.0000	531.751	8.745
20101004T170000	14.033	42.083	1.025	0.0000	299.404	8.990
20101004T180000	12.115	51.005	0.528	0.0051	104.240	9.005
20101004T190000	8.923	63.490	0.697	0.0277	28.981	8.765
20101004T200000	6.902	66.533	0.916	0.0067	6.565	8.255
20101004T210000	6.850	64.430	0.851	0.0050	6.142	7.728
20101004T220000	7.450	66.300	0.942	0.0000	6.142	7.339
20101004T230000	6.967	71.583	0.443	0.0639	6.142	7.125
20101005T000000	5.742	85.350	0.431	1.0119	6.142	7.017
20101005T010000	4.754	94.600	0.348	0.8850	6.142	6.866
20101005T020000	4.584	95.250	0.115	0.0000	6.142	6.740
20101005T030000	4.552	96.950	0.363	0.0479	6.142	6.636
20101005T040000	3.238	97.725	0.754	0.8100	6.142	6.603
20101005T050000	2.346	96.450	0.605	0.1123	6.142	6.493
20101005T060000	1.860	96.225	0.864	0.0139	6.142	6.357
20101005T070000	1.257	97.800	0.572	0.0440	6.142	6.228
20101005T080000	0.874	98.200	0.387	0.0000	6.346	6.110
20101005T090000	2.399	92.025	0.455	0.0080	36.641	5.866
20101005T100000	4.799	83.750	0.618	0.1334	218.934	5.719
20101005T110000	6.510	75.343	0.789	0.0000	370.239	5.807
20101005T120000	8.240	62.558	1.013	0.0913	610.510	6.050
20101005T130000	9.240	57.720	0.930	0.0000	719.916	6.476
20101005T140000	10.770	44.858	0.966	0.0000	756.618	6.937
20101005T150000	11.985	34.380	1.188	0.0000	671.235	7.172
20101005T160000	12.885	29.318	1.081	0.0000	567.977	7.282
20101005T170000	12.583	28.960	1.160	0.0000	285.091	7.389
20101005T180000	9.234	38.683	0.933	0.0325	28.667	7.447
20101005T190000	7.105	36.903	0.899	0.0195	17.281	7.059
20101005T200000	7.274	33.473	1.167	0.0000	6.142	6.566
20101005T210000	6.376	40.648	0.960	0.0000	6.142	6.209
20101005T220000	6.474	43.208	1.359	0.0278	6.142	5.859
20101005T230000	6.075	46.675	1.459	0.0071	6.142	5.656
20101006T000000	4.931	52.943	0.979	0.0000	6.142	5.527
20101006T010000	4.563	53.460	1.446	0.0218	6.142	5.312
20101006T020000	5.772	46.388	1.468	0.0000	6.142	5.094
20101006T030000	5.489	46.938	1.559	0.0112	6.142	4.995
20101006T040000	5.606	46.010	1.638	0.0107	6.142	4.869
20101006T050000	5.368	47.328	1.725	0.0040	6.142	4.748
20101006T060000	5.583	45.833	1.721	0.0000	6.142	4.633
20101006T070000	4.571	51.545	1.315	0.0000	6.142	4.566
20101006T080000	3.462	59.243	1.235	0.0023	6.644	4.418
20101006T090000	7.517	46.443	0.297	0.1005	34.809	4.094
20101006T100000	10.508	37.530	0.830	0.0000	274.651	4.225
20101006T110000	12.445	34.280	1.127	0.0000	476.001	4.547
20101006T120000	13.548	36.003	1.057	0.0000	607.087	5.053
20101006T130000	15.090	35.188	0.850	0.0000	701.375	5.730
20101006T140000	16.783	30.320	1.261	0.0000	737.031	6.403
20101006T150000	16.875	29.048	1.717	0.0000	636.372	6.746
20101006T160000	17.470	28.688	1.531	0.0040	553.619	6.927
20101006T170000	18.040	28.343	1.066	0.0000	265.882	7.121
20101006T180000	13.513	45.748	0.837	0.0758	27.082	7.372
20101006T190000	10.443	55.305	1.006	0.0134	15.257	7.111
20101006T200000	9.608	56.463	0.846	0.0000	6.142	6.769
20101006T210000	8.595	58.810	1.018	0.0000	6.142	6.467
20101006T220000	8.143	58.525	1.193	0.0000	6.142	6.191
20101006T230000	8.369	56.925	1.265	0.0190	6.142	5.926
20101007T000000	8.041	56.095	0.903	0.0250	6.142	5.729
20101007T010000	8.299	55.413	1.225	0.0000	6.142	5.512
20101007T020000	6.931	58.210	1.009	0.0055	6.142	5.378
20101007T030000	6.439	60.383	1.106	0.0043	6.142	5.182
20101007T040000	5.954	62.163	1.085	0.0032	6.142	4.994
20101007T050000	5.760	62.315	0.988	0.0135	6.142	4.807
20101007T060000	5.677	63.190	1.065	0.0000	6.142	4.646
20101007T070000	5.391	63.808	1.128	0.0075	6.142	4.521
20101007T080000	5.395	62.260	0.910	0.0000	6.158	4.404
20101007T090000	9.261	51.923	0.612	0.0959	27.644	4.126
20101007T100000	12.373	44.078	0.516	0.0000	247.933	4.267
20101007T110000	13.650	44.235	0.706	0.0000	462.500	4.630
20101007T120000	14.758	42.445	0.837	0.0000	596.216	5.212
20101007T130000	15.660	38.058	1.033	0.0000	681.725	5.947
20101007T140000	17.003	27.683	1.022	0.0000	714.497	6.592
20101007T150000	17.743	27.453	1.159	0.0011	591.683	6.937
20101007T160000	17.565	30.453	2.150	0.0163	380.793	7.262
20101007T170000	15.225	37.563	1.373	0.0000	154.374	7.602
20101007T180000	13.765	40.660	1.089	0.0337	82.061	7.629
20101007T190000	12.890	42.678	1.835	0.0167	42.656	7.467
20101007T200000	11.205	48.365	1.118	0.0302	6.502	7.250
20101007T210000	10.168	52.288	0.903	0.0238	6.142	6.875
20101007T220000	9.073	50.665	0.956	0.0167	6.142	6.562
20101007T230000	7.880	50.443	0.934	0.0226	6.142	6.226
20101008T000000	8.530	48.463	1.092	0.0011	6.142	5.918
20101008T010000	8.451	50.380	0.905	0.0056	6.142	5.665
20101008T020000	8.770	50.810	1.011	0.0000	6.142	5.472
20101008T030000	7.872	56.310	0.830	0.0000	6.142	5.370
20101008T040000	8.037	57.055	0.698	0.0186	6.142	5.295
20101008T050000	8.638	54.525	1.035	0.0226	6.142	5.196
20101008T060000	9.535	50.925	1.380	0.0031	6.142	5.128
20101008T070000	9.418	50.475	1.616	0.0000	6.142	5.106
20101008T080000	9.600	48.715	1.667	0.0059	6.581	5.051
20101008T090000	10.150	49.533	1.674	0.0095	32.701	4.953
20101008T100000	11.370	47.753	1.419	0.0000	216.652	5.067
20101008T110000	12.128	50.370	1.496	0.0059	451.154	5.268
20101008T120000	12.895	47.325	1.321	0.0000	493.560	5.708
20101008T130000	11.413	49.553	1.536	0.0000	535.522	6.277
