Date		ET	Lin	Td_lapse_rate	u	solar_angle	Qsi	z_prime	atm_trans	es	t	S0	shadowed	ea	rh	t_lapse_rate
20101002T000000		0.0154134	284.674	0.00509421	1.67555	0	0	0	0.831613	1195.43	9.60403	0	0	643.941	53.867	0.0068
20101002T010000		0.0150564	284.436	0.00509421	1.66612	0	0	0	0.831613	1180.53	9.41752	0	0	642.104	54.391	0.0068
20101002T020000		0.0140589	284.801	0.00509421	1.6403	0	0	0	0.831613	1147.06	8.99066	0	0	643.37	56.0886	0.0068
20101002T030000		0.0144315	283.199	0.00509421	1.49797	0	0	0	0.831613	1204.5	9.71665	0	0	634.867	52.7079	0.0068
20101002T040000		0.0159406	285.2	0.00509421	1.81535	0	0	0	0.831613	1175.88	9.35876	0	0	646.738	55.0006	0.0068
20101002T050000		0.0130849	282.224	0.00509421	1.54858	0	0	0	0.831613	1111.77	8.52855	0	0	626.459	56.348	0.0068
20101002T060000		0.0153788	286.614	0.00509421	1.85433	0	0	0	0.831613	1152.43	9.05987	0	0	654.73	56.813	0.0068
20101002T070000		0.0102482	283.808	0.00509421	1.21106	0	0	0	0.831613	1104.61	8.43323	0	0	635.71	57.5506	0.0068
20101002T080000		0.0584476	283.819	0.00509421	1.34678	0.321639	367.784	-1.32329e+06	0.831613	1025.13	7.33675	442.254	0	631.522	61.6041	0.0068
20101002T090000		0.0930383	285.938	0.00509421	1.26793	0.465877	532.715	-2.39594e+06	0.831613	1308.87	10.9611	640.581	0	653.359	49.9176	0.0068
20101002T100000		0.118816	292.343	0.00509421	1.06926	0.575244	657.772	-3.32089e+06	0.831613	1515.29	13.1844	790.96	0	695.135	45.8746	0.0068
20101002T110000		0.141446	293.717	0.00509421	0.97643	0.64227	734.416	-4.03516e+06	0.831613	1799.32	15.8432	883.122	0	694.657	38.6067	0.0068
20101002T120000		0.151342	291.826	0.00509421	1.19039	0.662376	757.406	-4.49013e+06	0.831613	1904.31	16.7331	910.767	0	673.888	35.3876	0.0068
20101002T130000		0.153018	291.369	0.00509421	1.41274	0.634178	725.162	-4.65485e+06	0.831613	2044.09	17.8533	871.995	0	660.414	32.3084	0.0068
20101002T140000		0.14232	291.702	0.00509421	1.43529	0.559587	639.869	-4.51817e+06	0.831613	2171.9	18.8203	769.432	0	652.884	30.0604	0.0068
20101002T150000		0.116155	290.609	0.00509421	1.05558	0.443676	507.33	-4.0895e+06	0.831613	2279.4	19.5956	610.055	0	634.754	27.8475	0.0068
20101002T160000		0.0906791	282.746	0.00509421	1.30148	0.294337	336.565	-3.39813e+06	0.831613	2329.41	19.9455	404.713	0	567.167	24.3481	0.0068
20101002T170000		0.0247585	281.646	0.00509421	1.13542	0.121738	0	-2.49129e+06	0.831613	2235.15	19.2805	0	1	567.505	25.39	0.0068
20101002T180000		0.0151859	282.17	0.00509421	0.83743	0	0	0	0.831613	1791.02	15.7709	0	0	608.403	33.9697	0.0068
20101002T190000		0.0133606	280.989	0.00509421	1.01898	0	0	0	0.831613	1402.62	12.0064	0	0	619.327	44.1552	0.0068
20101002T200000		0.012709	278.892	0.00509421	1.00179	0	0	0	0.831613	1347.87	11.4037	0	0	606.718	45.013	0.0068
20101002T210000		0.0106165	283.306	0.00509421	0.890146	0	0	0	0.831613	1316.65	11.0502	0	0	636.087	48.3111	0.0068
20101002T220000		0.0102263	287.968	0.00509421	0.955586	0	0	0	0.831613	1278.87	10.6126	0	0	666.427	52.1107	0.0068
20101002T230000		0.0108768	290.622	0.00509421	1.16289	0	0	0	0.831613	1223.73	9.95287	0	0	682.382	55.7625	0.0068
